id,title,author,isbn,parent_genre,genre,sub_genre,price,pages,publisher,year,description
17,A Man Called Ove: Now a major film starring Tom Hanks,Fredrik Backman,9780518347389,Fiction,Literature & Fiction,Humour,2.32,696,Scholastic,1987,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
18,A Man Called Ove,Fredrik Backman,9787376311654,Fiction,Literature & Fiction,Humour,2.44,763,Bloomsbury Publishing,1969,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
19,A Man Called Ove,Fredrik Backman,9780106513339,Non-Fiction,Society & Social Sciences,Society & Culture,2.44,1140,Penguin Books,1966,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
20,THINGS WE NEVER GOT OVER: the TikTok bestseller and perfect small-town romcom! (Knockemout Series),Lucy Score,9786247317817,Fiction,Romance,Western & Frontier,4.52,1071,Penguin Books,1968,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
21,A Court of Thorns and Roses: Enter the EPIC fantasy worlds of Sarah J Maas with the breath-taking first book in the GLOBALLY BESTSELLING ACOTAR series,Sarah J. Maas,9781326773609,Children & Young Adult,Teen & Young Adult,Science Fiction & Fantasy,3.07,310,Scholastic,1987,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
22,A Court of Thorns and Roses: Enter the EPIC fantasy worlds of Sarah J Maas with the breath-taking first book in the GLOBALLY BESTSELLING ACOTAR series,Sarah J. Maas,9786474687232,Children & Young Adult,Teen & Young Adult,Romance,3.07,632,Vintage Books,1999,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
23,A Court of Thorns and Roses,Sarah J. Maas,9789805009788,Children & Young Adult,Teen & Young Adult,Romance,1.48,1143,Random House,1982,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
24,A Court of Thorns and Roses,Sarah J. Maas,9788121913613,Fiction,Romance,Paranormal,4.4,122,HarperCollins,1979,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
25,A Court of Thorns and Roses,Sarah J. Maas,9789091699858,Fiction,Literature & Fiction,"Myths, Legends & Sagas",4.4,382,Vintage Books,1953,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
26,Fourth Wing: DISCOVER THE INSTANT SUNDAY TIMES AND NUMBER ONE GLOBAL BESTSELLING PHENOMENON!* (The Empyrean),Rebecca Yarros,9783462475103,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,2.72,920,Bloomsbury Publishing,1977,"Narración brillante que combina suspense, emoción y reflexión filosófica."
27,Fourth Wing: DISCOVER THE INSTANT SUNDAY TIMES AND NUMBER ONE GLOBAL BESTSELLING PHENOMENON!* (The Empyrean),Rebecca Yarros,9781183842515,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",2.72,531,Simon & Schuster,1988,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
28,Fourth Wing: DISCOVER THE INSTANT SUNDAY TIMES AND NUMBER ONE GLOBAL BESTSELLING PHENOMENON!* (The Empyrean),Rebecca Yarros,9782784980849,Fiction,Romance,Fantasy,2.72,370,Vintage Books,1968,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
29,Fourth Wing: DISCOVER THE INSTANT SUNDAY TIMES AND NUMBER ONE GLOBAL BESTSELLING PHENOMENON!* (The Empyrean),Rebecca Yarros,9781182449356,Fiction,Romance,New Adult & College,2.72,811,Macmillan Publishers,1951,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
30,FOURTH WING: DISCOVER THE INSTANT SUNDAY TIMES AND NUMBER ONE GLOBAL BESTSELLING PHENOMENON! (The Empyrean),Rebecca Yarros,9787401640059,Fiction,Romance,New Adult & College,11.6,1099,Oxford University Press,1983,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
31,Fourth Wing: DISCOVER THE INSTANT SUNDAY TIMES AND NUMBER ONE GLOBAL BESTSELLING PHENOMENON!* (The Empyrean),Rebecca Yarros,9787868011289,Fiction,Romance,Paranormal,2.72,143,Bloomsbury Publishing,1996,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
32,The Fault in Our Stars,John Green,9788262045057,Children & Young Adult,Teen & Young Adult,Social & Family Issues,3.41,580,Scholastic,2015,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
33,The Fault in Our Stars,John Green,9785869232266,Children & Young Adult,Teen & Young Adult,Romance,3.41,962,Penguin Books,2016,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
34,"A Court of Mist and Fury: The second book in the GLOBALLY BESTSELLING, SENSATIONAL series (A Court of Thorns and Roses 2)",Sarah J. Maas,9786342160731,Children & Young Adult,Teen & Young Adult,Science Fiction & Fantasy,3.69,816,Macmillan Publishers,2001,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
35,A Court of Mist and Fury,Sarah J. Maas,9784330365414,Fiction,Romance,Paranormal,4.28,502,Macmillan Publishers,2011,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
36,"A Court of Mist and Fury: The second book in the GLOBALLY BESTSELLING, SENSATIONAL series (A Court of Thorns and Roses 2)",Sarah J. Maas,9786850142941,Children & Young Adult,Teen & Young Adult,Romance,3.69,262,Hachette Livre,1971,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
37,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,9786556981692,Lifestyle & Leisure,"Health, Family & Personal Development",Self-Help,13.62,476,Simon & Schuster,1994,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
38,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,9786088356155,Lifestyle & Leisure,"Health, Family & Personal Development",Personal Transformation,13.62,853,HarperCollins,1969,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
39,A Court of Wings and Ruin,Sarah J. Maas,9784846564824,Fiction,Romance,Paranormal,4.28,301,Macmillan Publishers,2014,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
40,ME BEFORE YOU,Jojo Moyes,9782994680442,Fiction,Romance,Clean & Wholesome,3.74,640,Vintage Books,1990,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
41,"The Handmaid's Tale [Paperback] Atwood, Margaret",Margaret Atwood,9789577738720,Non-Fiction,Society & Social Sciences,Society & Culture,3.87,1195,Hachette Livre,2016,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
42,The Housemaid's Secret : A totally gripping psychological thriller with a shocking twist,Freida McFadden,9789513433200,Fiction,Literature & Fiction,"Crime, Thriller & Mystery",3.56,1000,Bloomsbury Publishing,1997,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
43,The Housemaid's Secret : A totally gripping psychological thriller with a shocking twist,Freida McFadden,9789176936761,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,3.56,1159,Macmillan Publishers,1998,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
44,TO KILL A MOCKINGBIRD,Harper Lee,9781632870830,Fiction,Literature & Fiction,Classic Fiction,3.31,438,Bloomsbury Publishing,2012,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
45,1984,George Orwell,9787889579862,Fiction,Literature & Fiction,Classic Fiction,1.09,623,HarperCollins,1971,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
46,1984 A NOVEL,George Orwell,9787743487347,Non-Fiction,Society & Social Sciences,Anthropology,1.08,794,Simon & Schuster,2017,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
47,1984 | George Orwell | International Bestseller Paperback Book,George Orwell,9783455812234,Education,Reference,Library & Information Science,1.2,758,Bloomsbury Publishing,2011,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
48,1984 (AmazonClassics Edition),George Orwell,9781665876031,Fiction,Literature & Fiction,Classic Fiction,0.76,880,Scholastic,1972,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
49,1984,George Orwell,9780967054664,Non-Fiction,Society & Social Sciences,Anthropology,1.09,934,Macmillan Publishers,2011,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
50,1984 (AmazonClassics Edition),George Orwell,9783734670650,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",0.76,645,Hachette Livre,1998,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
51,"Iron Flame: THE NUMBER ONE BESTSELLING SEQUEL TO THE GLOBAL PHENOMENON, FOURTH WING* (The Empyrean)",Rebecca Yarros,9782980699019,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,2.81,713,Macmillan Publishers,1951,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
52,"Iron Flame: THE NUMBER ONE BESTSELLING SEQUEL TO THE GLOBAL PHENOMENON, FOURTH WING* (The Empyrean)",Rebecca Yarros,9782046537555,Fiction,Romance,Fantasy,2.81,470,Scholastic,1958,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
53,"Iron Flame: THE NUMBER ONE BESTSELLING SEQUEL TO THE GLOBAL PHENOMENON, FOURTH WING* (The Empyrean)",Rebecca Yarros,9784170805314,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",2.81,164,Scholastic,1993,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
54,"Iron Flame: THE NUMBER ONE BESTSELLING SEQUEL TO THE GLOBAL PHENOMENON, FOURTH WING* (The Empyrean)",Rebecca Yarros,9783092327196,Fiction,Romance,Paranormal,2.81,1145,Simon & Schuster,1978,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
55,Never Lie: An addictive psychological thriller,Freida McFadden,9785299124199,Fiction,Literature & Fiction,"Crime, Thriller & Mystery",3.64,783,Bloomsbury Publishing,1989,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
56,Sapiens (L),Yuval Noah Harari,9786631931498,Non-Fiction,Society & Social Sciences,Anthropology,5.11,331,Penguin Books,1976,"Narración brillante que combina suspense, emoción y reflexión filosófica."
57,Sapiens,Yuval Noah Harari,9785865185064,Non-Fiction,Society & Social Sciences,Anthropology,10.53,967,Hachette Livre,1978,"Narración brillante que combina suspense, emoción y reflexión filosófica."
58,Sapiens (L),Yuval Noah Harari,9785726284983,Science & Technology,"Sciences, Technology & Medicine",Biology & Life Sciences,5.11,1011,Bloomsbury Publishing,1969,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
59,Sapiens,Yuval Noah Harari,9789453147375,Non-Fiction,Society & Social Sciences,Society & Culture,10.53,790,Oxford University Press,1985,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
60,Sapiens (L),Yuval Noah Harari,9785075273542,Non-Fiction,Society & Social Sciences,Society & Culture,5.11,670,Scholastic,1965,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
61,Sapiens: THE MULTI-MILLION COPY BESTSELLER,Yuval Noah Harari,9784808313676,Non-Fiction,Society & Social Sciences,Anthropology,2.91,305,HarperCollins,1975,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
62,Sapiens: THE MULTI-MILLION COPY BESTSELLER,Yuval Noah Harari,9787701436344,Science & Technology,"Sciences, Technology & Medicine",Biology & Life Sciences,2.91,97,Hachette Livre,1995,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
63,Project Hail Mary,Andy Weir,9788856855747,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",11.03,1101,Simon & Schuster,2013,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
64,Becoming : The Sunday Times Number One Bestseller,Michelle Obama,9781351823374,Non-Fiction,Society & Social Sciences,Ethnography,5.11,381,Vintage Books,2008,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
65,Becoming : The Sunday Times Number One Bestseller,Michelle Obama,9789413435247,Non-Fiction,Society & Social Sciences,Society & Culture,5.11,1035,Penguin Books,2022,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
66,Harry Potter and the Philosopher's Stone,J.K. Rowling,9784008427100,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,3.88,387,Bloomsbury Publishing,1951,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
67,Harry Potter and the Philosopher's Stone,J.K. Rowling,9787752047110,Children & Young Adult,Children's Books,Fantasy,3.88,1151,Simon & Schuster,2017,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
68,"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,9789022941314,Children & Young Adult,Children's Books,"Fantasy, Science Fiction & Horror",10.99,673,Hachette Livre,1979,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
69,Harry Potter and the Philosopher's Stone,J.K. Rowling,9789938677493,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,3.45,413,Oxford University Press,1975,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
70,Harry Potter and the Philosopher's Stone,J.K. Rowling,9789091334123,Children & Young Adult,Children's Books,"Fantasy, Science Fiction & Horror",3.88,701,Hachette Livre,1996,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
71,Harry Potter and the Philosopher's Stone,J.K. Rowling,9781206797407,Children & Young Adult,Children's Books,"Fantasy, Science Fiction & Horror",3.45,1077,Vintage Books,1954,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
72,Harry Potter and the Philosopher's Stone,J.K. Rowling,9787134936187,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",3.45,670,HarperCollins,2001,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
73,Harry Potter and the Philosopher's Stone,J.K. Rowling,9782102499478,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",3.88,212,Macmillan Publishers,1962,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
74,"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,9786488771904,Children & Young Adult,Children's Books,Growing Up & Facts of Life,10.99,683,Oxford University Press,1992,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
75,"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,9784013990496,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,10.99,111,Random House,2014,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
76,"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,9788742967171,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",10.99,1009,HarperCollins,1958,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
77,When Breath Becomes Air,Paul Kalanithi,9785125674688,Non-Fiction,Society & Social Sciences,Society & Culture,4.61,163,HarperCollins,1984,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
78,When Breath Becomes Air,Paul Kalanithi,9785451680877,Science & Technology,"Sciences, Technology & Medicine",Biology & Life Sciences,4.61,525,Scholastic,2020,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
79,When Breath Becomes Air: The ultimate moving life-and-death story,Paul Kalanithi,9788597703486,Science & Technology,"Sciences, Technology & Medicine",Biology & Life Sciences,2.77,659,Random House,2018,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
80,"The Guest List: From the author of The Hunting Party, the No.1 Sunday Times bestseller and prize winning mystery thriller in 2021",Lucy Foley,9787109324803,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,2.97,332,Simon & Schuster,2018,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
81,Then She Was Gone,Lisa Jewell,9783171274843,Fiction,"Crime, Thriller & Mystery",Thrillers and Suspense,3.93,188,Hachette Livre,1960,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
82,BORN A CRIME: STORIES FROM A SOUTH AFRICAN CHILDHOOD,Trevor Noah,9783782639827,Fiction,Literature & Fiction,Humour,3.56,1080,Vintage Books,1957,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
83,The Song of Achilles,Madeline Miller,9785840449971,Fiction,Literature & Fiction,"Myths, Legends & Sagas",4.29,706,Simon & Schuster,2007,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
84,The Song of Achilles,Madeline Miller,9787558867532,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,4.29,90,HarperCollins,2022,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
85,The Song of Achilles,Madeline Miller,9783605766274,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",4.29,961,Random House,2016,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
86,"A Court of Frost and Starlight: An unmissable companion tale to the GLOBALLY BESTSELLING, SENSATIONAL series (A Court of Thorns and Roses Book 4)",Sarah J. Maas,9789517187027,Fiction,Romance,Paranormal,3.07,801,Bloomsbury Publishing,1981,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
87,Atomic Habits,James Clear,9787459615869,Lifestyle & Leisure,"Health, Family & Personal Development",Self-Help,5.61,81,Vintage Books,1981,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
88,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,9780913431614,Lifestyle & Leisure,"Health, Family & Personal Development",Personal Transformation,9.02,182,Hachette Livre,1982,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
89,Atomic Habits,James Clear,9784005045560,Lifestyle & Leisure,"Health, Family & Personal Development",Personal Transformation,5.61,594,Scholastic,1973,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
90,The Very Hungry Caterpillar [Board book] Eric Carle,Eric Carle,9786922219695,Children & Young Adult,Children's Books,"Games, Toys & Activities",2.88,362,Vintage Books,1981,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
91,The Very Hungry Caterpillar [Board book] Eric Carle,Eric Carle,9782374740747,Children & Young Adult,Children's Books,"Fantasy, Science Fiction & Horror",2.88,797,Simon & Schuster,1979,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
92,The Very Hungry Caterpillar [Board book] Eric Carle,Eric Carle,9787594647439,Children & Young Adult,Children's Books,Interactive & Activity Books,2.88,660,Penguin Books,2008,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
93,The Very Hungry Caterpillar [Board book] Eric Carle,Eric Carle,9783695944065,Children & Young Adult,Children's Books,Picture Books,2.88,1108,Hachette Livre,1972,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
94,The Very Hungry Caterpillar [Board book] Eric Carle,Eric Carle,9780974395330,Children & Young Adult,Children's Books,Animals & Pets,2.88,397,Macmillan Publishers,1955,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
95,Dune,Frank Herbert,9781047095210,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,3.31,256,Bloomsbury Publishing,1984,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
96,Dune,Frank Herbert,9782328588421,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",3.31,634,Macmillan Publishers,2020,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
97,Dune: The inspiration for the blockbuster film (The Dune Sequence Book 1),Frank Herbert,9785171236857,Science & Technology,"Sciences, Technology & Medicine",Biology & Life Sciences,3.51,372,Oxford University Press,1985,"Cautivadora desde el primer capítulo, con un desenlace que sorprende y conmueve."
98,Dune,Frank Herbert,9784817549654,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,3.78,482,Random House,1961,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
99,Dune,Frank Herbert,9780985931741,Fiction,Literature & Fiction,Classic Fiction,3.78,964,Penguin Books,1974,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
100,Dune,Frank Herbert,9780047113822,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",3.78,245,Oxford University Press,1958,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
101,How to Win Friends and Influence People (Premium Paperback),Dale Carnegie,9788692617963,Science & Technology,"Computing, Internet & Digital Media",Internet & Social Media,1.46,675,Vintage Books,1966,"Un clásico moderno que mezcla aventura, drama y crítica social de forma magistral."
102,How to Win Friends and Influence People,Dale Carnegie,9783773515850,Lifestyle & Leisure,"Health, Family & Personal Development",Personal Transformation,0.1,528,Vintage Books,2016,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
103,How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie,9783171390051,Lifestyle & Leisure,"Health, Family & Personal Development",Self-Help,1.09,145,Bloomsbury Publishing,1988,"Narración brillante que combina suspense, emoción y reflexión filosófica."
104,How to Win Friends and Influence People,Dale Carnegie,9783183933520,Lifestyle & Leisure,"Health, Family & Personal Development",Self-Help,0.1,1049,Penguin Books,1957,Una novela que desafía convenciones y ofrece una perspectiva fresca y reveladora.
105,How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie,9782284210206,Education,Reference,"Words, Language & Grammar",1.09,806,Macmillan Publishers,1976,Imprescindible para cualquier amante de la lectura; una historia que perdura en la memoria.
106,How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie,9785024026813,Lifestyle & Leisure,"Health, Family & Personal Development",Personal Transformation,1.09,589,Simon & Schuster,1979,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
107,"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,9785891783909,Children & Young Adult,Children's Books,Growing Up & Facts of Life,17.59,871,Scholastic,1981,Un viaje apasionante a través de ideas que transforman la manera de ver el mundo.
108,"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,9780076617712,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",17.59,945,Hachette Livre,2011,"Narración brillante que combina suspense, emoción y reflexión filosófica."
109,Harry Potter and the Deathly Hallows,J.K. Rowling,9782124998569,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,3.45,897,Scholastic,2009,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
110,"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,9787896118363,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,17.59,280,Hachette Livre,1962,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
111,Harry Potter and the Deathly Hallows,J.K. Rowling,9785766156541,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",3.45,615,Oxford University Press,2018,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
112,Harry Potter and the Deathly Hallows,J.K. Rowling,9781111615281,Children & Young Adult,Children's Books,"Fantasy, Science Fiction & Horror",3.45,698,Simon & Schuster,1956,"Escrita con una prosa elegante, esta obra es un referente en la literatura contemporánea."
113,Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,9788516560494,Fiction,"Fantasy, Horror & Science Fiction",Fantasy,2.73,716,Oxford University Press,1990,Un relato profundo y emotivo que explora la condición humana con maestría literaria.
114,Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,9789832731580,Children & Young Adult,Children's Books,"Fantasy, Science Fiction & Horror",2.73,434,Hachette Livre,1959,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
115,Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,9789368998091,Fiction,Literature & Fiction,"Fantasy, Horror & Science Fiction",2.73,972,Hachette Livre,1975,Una obra maestra que redefine el género y cautiva al lector desde la primera página.
116,Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,9784455022968,Lifestyle & Leisure,"Arts, Film & Photography",Theater & Ballet,2.73,740,Scholastic,2011,Repleta de personajes complejos y giros inesperados que no te dejarán soltar el libro.
